name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,age_of_car,price_per_km,is_diesel,is_dealer,is_automatic,owner_priority,brand
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first owner,19,0.8571428571428571,0,0,0,1,maruti
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first owner,19,2.7,0,0,0,1,maruti
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first owner,14,6.0,1,0,0,1,hyundai
datsun redigo t option,2017,250000,46000,petrol,individual,manual,first owner,9,5.434782608695652,0,0,0,1,datsun
honda amaze vx i-dtec,2014,450000,141000,diesel,individual,manual,second owner,12,3.1914893617021276,1,0,0,2,honda
maruti alto lx bsiii,2007,140000,125000,petrol,individual,manual,first owner,19,1.12,0,0,0,1,maruti
hyundai xcent 1.2 kappa s,2016,550000,25000,petrol,individual,manual,first owner,10,22.0,0,0,0,1,hyundai
tata indigo grand petrol,2014,240000,60000,petrol,individual,manual,second owner,12,4.0,0,0,0,2,tata
hyundai creta 1.6 vtvt s,2015,850000,25000,petrol,individual,manual,first owner,11,34.0,0,0,0,1,hyundai
maruti celerio green vxi,2017,365000,78000,cng,individual,manual,first owner,9,4.67948717948718,0,0,0,1,maruti
chevrolet sail 1.2 base,2015,260000,35000,petrol,individual,manual,first owner,11,7.428571428571429,0,0,0,1,chevrolet
tata indigo grand petrol,2014,250000,100000,petrol,individual,manual,first owner,12,2.5,0,0,0,1,tata
toyota corolla altis 1.8 vl cvt,2018,1650000,25000,petrol,dealer,automatic,first owner,8,66.0,0,1,1,1,toyota
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first owner,19,0.8571428571428571,0,0,0,1,maruti
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first owner,19,2.7,0,0,0,1,maruti
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first owner,14,6.0,1,0,0,1,hyundai
datsun redigo t option,2017,250000,46000,petrol,individual,manual,first owner,9,5.434782608695652,0,0,0,1,datsun
honda amaze vx i-dtec,2014,450000,141000,diesel,individual,manual,second owner,12,3.1914893617021276,1,0,0,2,honda
maruti alto lx bsiii,2007,140000,125000,petrol,individual,manual,first owner,19,1.12,0,0,0,1,maruti
hyundai xcent 1.2 kappa s,2016,550000,25000,petrol,individual,manual,first owner,10,22.0,0,0,0,1,hyundai
tata indigo grand petrol,2014,240000,60000,petrol,individual,manual,second owner,12,4.0,0,0,0,2,tata
hyundai creta 1.6 vtvt s,2015,850000,25000,petrol,individual,manual,first owner,11,34.0,0,0,0,1,hyundai
maruti celerio green vxi,2017,365000,78000,cng,individual,manual,first owner,9,4.67948717948718,0,0,0,1,maruti
chevrolet sail 1.2 base,2015,260000,35000,petrol,individual,manual,first owner,11,7.428571428571429,0,0,0,1,chevrolet
tata indigo grand petrol,2014,250000,100000,petrol,individual,manual,first owner,12,2.5,0,0,0,1,tata
toyota corolla altis 1.8 vl cvt,2018,1650000,25000,petrol,dealer,automatic,first owner,8,66.0,0,1,1,1,toyota
maruti ciaz vxi plus,2015,585000,24000,petrol,dealer,manual,first owner,11,24.375,0,1,0,1,maruti
hyundai venue sx opt diesel,2019,1195000,5000,diesel,dealer,manual,first owner,7,239.0,1,1,0,1,hyundai
chevrolet enjoy tcdi ltz 7 seater,2013,390000,33000,diesel,individual,manual,second owner,13,11.818181818181818,1,0,0,2,chevrolet
jaguar xf 2.2 litre luxury,2014,1964999,28000,diesel,dealer,automatic,first owner,12,70.17853571428572,1,1,1,1,jaguar
mercedes-benz new c-class 220 cdi at,2013,1425000,59000,diesel,dealer,automatic,first owner,13,24.152542372881356,1,1,1,1,mercedes-benz
maruti vitara brezza zdi plus amt,2018,975000,4500,diesel,dealer,automatic,first owner,8,216.66666666666666,1,1,1,1,maruti
audi q5 2.0 tdi,2011,1190000,175900,diesel,dealer,automatic,first owner,15,6.7652075042637865,1,1,1,1,audi
honda city v mt,2018,930000,14500,petrol,dealer,manual,first owner,8,64.13793103448276,0,1,0,1,honda
