name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first owner
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first owner
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first owner
datsun redigo t option,2017,250000,46000,petrol,individual,manual,first owner
honda amaze vx i-dtec,2014,450000,141000,diesel,individual,manual,second owner
maruti alto lx bsiii,2007,140000,125000,petrol,individual,manual,first owner
hyundai xcent 1.2 kappa s,2016,550000,25000,petrol,individual,manual,first owner
tata indigo grand petrol,2014,240000,60000,petrol,individual,manual,second owner
hyundai creta 1.6 vtvt s,2015,850000,25000,petrol,individual,manual,first owner
maruti celerio green vxi,2017,365000,78000,cng,individual,manual,first owner
chevrolet sail 1.2 base,2015,260000,35000,petrol,individual,manual,first owner
tata indigo grand petrol,2014,250000,100000,petrol,individual,manual,first owner
toyota corolla altis 1.8 vl cvt,2018,1650000,25000,petrol,dealer,automatic,first owner
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first owner
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first owner
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first owner
datsun redigo t option,2017,250000,46000,petrol,individual,manual,first owner
honda amaze vx i-dtec,2014,450000,141000,diesel,individual,manual,second owner
maruti alto lx bsiii,2007,140000,125000,petrol,individual,manual,first owner
hyundai xcent 1.2 kappa s,2016,550000,25000,petrol,individual,manual,first owner
tata indigo grand petrol,2014,240000,60000,petrol,individual,manual,second owner
hyundai creta 1.6 vtvt s,2015,850000,25000,petrol,individual,manual,first owner
maruti celerio green vxi,2017,365000,78000,cng,individual,manual,first owner
chevrolet sail 1.2 base,2015,260000,35000,petrol,individual,manual,first owner
tata indigo grand petrol,2014,250000,100000,petrol,individual,manual,first owner
toyota corolla altis 1.8 vl cvt,2018,1650000,25000,petrol,dealer,automatic,first owner
maruti ciaz vxi plus,2015,585000,24000,petrol,dealer,manual,first owner
hyundai venue sx opt diesel,2019,1195000,5000,diesel,dealer,manual,first owner
chevrolet enjoy tcdi ltz 7 seater,2013,390000,33000,diesel,individual,manual,second owner
jaguar xf 2.2 litre luxury,2014,1964999,28000,diesel,dealer,automatic,first owner
mercedes-benz new c-class 220 cdi at,2013,1425000,59000,diesel,dealer,automatic,first owner
maruti vitara brezza zdi plus amt,2018,975000,4500,diesel,dealer,automatic,first owner
audi q5 2.0 tdi,2011,1190000,175900,diesel,dealer,automatic,first owner
honda city v mt,2018,930000,14500,petrol,dealer,manual,first owner
tata tigor 1.2 revotron xt,2018,525000,15000,petrol,individual,manual,first owner
audi a6 2.0 tdi  design edition,2013,1735000,50000,diesel,dealer,automatic,first owner
mercedes-benz new c-class c 220 cdi avantgarde,2012,1375000,33800,diesel,dealer,automatic,second owner
skoda superb ambition 2.0 tdi cr at,2011,450000,130400,diesel,dealer,automatic,second owner
toyota corolla altis g at,2016,900000,50000,petrol,individual,automatic,first owner
toyota innova 2.5 g (diesel) 7 seater,2015,1300000,80000,diesel,individual,manual,first owner
jeep compass 1.4 sport plus bsiv,2019,1400000,10000,petrol,individual,manual,first owner
mercedes-benz e-class e 200 cgi elegance,2010,850000,119000,petrol,dealer,automatic,first owner
hyundai i10 magna 1.1l,2014,229999,60000,petrol,individual,manual,fourth & above owner
bmw 3 series 320d sport line,2013,1550000,75800,diesel,dealer,automatic,second owner
audi q7 35 tdi quattro premium,2009,1250000,78000,diesel,dealer,automatic,third owner
hyundai elantra crdi s,2012,625000,40000,diesel,individual,manual,first owner
mahindra scorpio 1.99 s10,2014,1050000,50000,diesel,individual,manual,first owner
honda city i dtec v,2014,560000,74000,diesel,individual,manual,second owner
maruti wagon r vxi bs iv with abs,2014,290000,64000,petrol,individual,manual,second owner
maruti wagon r vxi bs iv,2012,275000,60000,petrol,individual,manual,second owner
mahindra scorpio lx,2009,411000,120000,diesel,individual,manual,second owner
hyundai santro xing gls,2009,150000,79000,petrol,individual,manual,third owner
hyundai grand i10 1.2 kappa asta,2019,500000,15000,petrol,individual,manual,first owner
maruti alto lxi,2006,100000,80000,petrol,individual,manual,first owner
maruti swift dzire vdi optional,2017,725000,18500,diesel,dealer,manual,first owner
maruti eeco 5 seater ac bsiv,2018,401000,10200,petrol,dealer,manual,first owner
hyundai i20 sportz 1.4 crdi,2018,750000,29000,diesel,dealer,manual,first owner
maruti omni maruti omni mpi std bsiii 5-str w/ immobiliser,2018,310000,28000,petrol,dealer,manual,first owner
maruti swift zdi bsiv,2016,665000,46000,diesel,dealer,manual,first owner
hyundai i20 2015-2017 sportz option 1.4 crdi,2014,465000,70000,diesel,dealer,manual,first owner
maruti alto lxi,2012,160000,60000,petrol,individual,manual,second owner
mahindra jeep cl 500 mdi,1996,250000,35000,diesel,individual,manual,second owner
honda city i dtec vx,2014,675000,90000,diesel,dealer,manual,first owner
maruti wagon r vxi bs iv,2013,300000,80000,petrol,dealer,manual,first owner
tata indica dls,2005,70000,80000,diesel,individual,manual,first owner
hyundai eon magna plus,2014,240000,73300,petrol,dealer,manual,second owner
toyota etios gd,2014,525000,92000,diesel,dealer,manual,first owner
maruti alto lxi,2009,151000,66764,petrol,dealer,manual,second owner
maruti alto lxi,2009,140000,100000,petrol,individual,manual,first owner
chevrolet tavera neo ls b3 - 7(c) seats bsiii,2010,280000,350000,diesel,individual,manual,second owner
